# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TN,   TX
# 
  240,19600101,   82,  106
  240,19600102,   72,   86
  240,19600103,   36,   96
  240,19600104,   43,  103
  240,19600105,   47,  107
  240,19600106,   38,   77
  240,19600107,   44,   81
  240,19600108,   -1,   72
  240,19600109,  -20,   -1
  240,19600110,  -42,    5
  240,19600111,  -48,   21
  240,19600112,  -63,  -16
  240,19600113,  -68,  -36
  240,19600114,  -63,  -13
  240,19600115,  -69,  -24
  240,19600116,  -21,   24
  240,19600117,  -50,   21
  240,19600118,   10,   39
  240,19600119,   22,   47
  240,19600120,   11,   43
  240,19600121,    7,   52
  240,19600122,   57,  106
  240,19600123,   85,  102
  240,19600124,   86,  113
  240,19600125,   52,   81
  240,19600126,   30,   67
  240,19600127,   33,   52
  240,19600128,   50,   87
  240,19600129,   30,   52
  240,19600130,    1,   36
  240,19600131,   -1,    7
  240,19600201,    5,   27
  240,19600202,   16,   70
  240,19600203,   59,   80
  240,19600204,   46,   83
  240,19600205,   15,   71
  240,19600206,  -10,   50
  240,19600207,  -41,    2
  240,19600208,  -48,   20
  240,19600209,    0,   57
  240,19600210,   11,   54
  240,19600211,    5,   36
  240,19600212,    6,   19
  240,19600213,    5,   23
  240,19600214,    4,   35
  240,19600215,    3,   51
  240,19600216,   11,   54
  240,19600217,  -48,   48
  240,19600218,  -20,   40
  240,19600219,  -13,   62
  240,19600220,    1,   73
  240,19600221,   -2,   65
  240,19600222,    2,   53
  240,19600223,   13,   29
  240,19600224,   -4,   64
  240,19600225,   13,   60
  240,19600226,   38,   80
  240,19600227,   57,  116
  240,19600228,   55,  151
  240,19600229,   72,  155
  240,19600301,   81,  116
  240,19600302,   78,   99
  240,19600303,   57,   94
  240,19600304,   42,   80
  240,19600305,   28,   78
  240,19600306,    2,   80
  240,19600307,  -11,   33
  240,19600308,  -29,    8
  240,19600309,  -21,   73
  240,19600310,   23,   75
  240,19600311,   18,   80
  240,19600312,   54,  139
  240,19600313,   43,  149
  240,19600314,   51,  163
  240,19600315,   40,   98
  240,19600316,   27,   52
  240,19600317,   22,   46
  240,19600318,   17,   36
  240,19600319,   11,   68
  240,19600320,    3,   49
  240,19600321,    4,   62
  240,19600322,   -1,   69
  240,19600323,   10,  144
  240,19600324,   28,  156
  240,19600325,   50,   86
  240,19600326,   50,  109
  240,19600327,   40,   86
  240,19600328,   43,   64
  240,19600329,   50,   58
  240,19600330,   45,   92
  240,19600331,   32,   81
  240,19600401,   46,   75
  240,19600402,   38,  138
  240,19600403,   79,  183
  240,19600404,   83,  138
  240,19600405,   53,  166
  240,19600406,  107,  208
  240,19600407,  103,  172
  240,19600408,   86,  130
  240,19600409,   79,  139
  240,19600410,   55,  130
  240,19600411,   59,  101
  240,19600412,   52,  111
  240,19600413,   82,  125
  240,19600414,   58,  115
  240,19600415,   22,   95
  240,19600416,   16,   88
  240,19600417,    2,  107
  240,19600418,   34,  116
  240,19600419,   71,  176
  240,19600420,   79,  191
  240,19600421,   43,  119
  240,19600422,   25,  125
  240,19600423,   40,  103
  240,19600424,   48,  106
  240,19600425,   42,   91
  240,19600426,   19,  104
  240,19600427,   11,   96
  240,19600428,   20,  105
  240,19600429,   22,  101
  240,19600430,   10,  104
  240,19600501,   22,   82
  240,19600502,   26,   95
  240,19600503,   31,  142
  240,19600504,   52,  166
  240,19600505,   44,  190
  240,19600506,   85,  214
  240,19600507,   96,  218
  240,19600508,  124,  218
  240,19600509,  124,  226
  240,19600510,  124,  213
  240,19600511,  117,  218
  240,19600512,  123,  221
  240,19600513,  105,  226
  240,19600514,   98,  187
  240,19600515,  125,  190
  240,19600516,   91,  177
  240,19600517,   90,  121
  240,19600518,   93,  137
  240,19600519,  107,  162
  240,19600520,   98,  170
  240,19600521,   97,  129
  240,19600522,   90,  128
  240,19600523,  100,  201
  240,19600524,   64,  140
  240,19600525,   55,  172
  240,19600526,   92,  196
  240,19600527,  105,  210
  240,19600528,   88,  174
  240,19600529,   93,  125
  240,19600530,   61,  144
  240,19600531,   59,  149
  240,19600601,   88,  160
  240,19600602,  104,  223
  240,19600603,  140,  246
  240,19600604,  150,  258
  240,19600605,  152,  282
  240,19600606,  148,  234
  240,19600607,  105,  183
  240,19600608,   97,  208
  240,19600609,  135,  183
  240,19600610,  108,  168
  240,19600611,   98,  163
  240,19600612,  140,  198
  240,19600613,  107,  178
  240,19600614,   97,  173
  240,19600615,  101,  189
  240,19600616,  101,  206
  240,19600617,  149,  224
  240,19600618,  139,  243
  240,19600619,  108,  190
  240,19600620,  100,  169
  240,19600621,  118,  160
  240,19600622,   88,  198
  240,19600623,  139,  254
  240,19600624,  139,  262
  240,19600625,  148,  274
  240,19600626,  154,  253
  240,19600627,  122,  170
  240,19600628,   89,  160
  240,19600629,  100,  126
  240,19600630,   80,  142
  240,19600701,   87,  148
  240,19600702,   90,  153
  240,19600703,   86,  142
  240,19600704,   72,  194
  240,19600705,  141,  178
  240,19600706,  146,  190
  240,19600707,  144,  196
  240,19600708,  131,  190
  240,19600709,  133,  178
  240,19600710,  140,  176
  240,19600711,  144,  189
  240,19600712,  126,  186
  240,19600713,  120,  196
  240,19600714,  138,  206
  240,19600715,  122,  200
  240,19600716,  112,  198
  240,19600717,  125,  181
  240,19600718,  130,  197
  240,19600719,  134,  192
  240,19600720,  106,  167
  240,19600721,   97,  189
  240,19600722,  108,  169
  240,19600723,   97,  177
  240,19600724,   86,  199
  240,19600725,  148,  195
  240,19600726,  136,  203
  240,19600727,  127,  194
  240,19600728,  116,  176
  240,19600729,  165,  224
  240,19600730,  166,  214
  240,19600731,  148,  189
  240,19600801,  114,  198
  240,19600802,  109,  200
  240,19600803,  100,  218
  240,19600804,  117,  216
  240,19600805,  123,  209
  240,19600806,  128,  200
  240,19600807,  109,  205
  240,19600808,  136,  223
  240,19600809,  114,  184
